755,260,1
755,1210,5
755,356,2
755,593,4
755,3578,4
755,1,2
755,2028,2
755,1259,3
755,2396,2
755,780,5
755,541,2
755,1265,5
755,2571,4
755,527,2
755,2762,5
5277,260,5
5277,318,2
5277,593,4
5277,3578,2
5277,1,1
5277,1259,4
5277,2396,3
5277,2916,2
5277,780,2
5277,1265,2
5277,527,5
5277,2762,1
5277,1198,3
1577,318,5
1577,593,2
1577,1,4
1577,1259,1
1577,2916,1
1577,780,4
1577,541,4
1577,1265,1
1577,2571,1
1577,527,2
1577,2762,3
1577,1198,1
1577,34,3
4388,1210,3
4388,3578,1
4388,1,2
4388,2028,3
4388,296,4
4388,2916,4
4388,541,3
4388,1265,5
4388,527,5
4388,2762,1
4388,1198,1
4388,34,2
1202,260,4
1202,1210,3
1202,356,4
1202,318,1
1202,593,4
1202,3578,1
1202,2028,4
1202,1259,1
1202,2396,5
1202,2916,1
1202,541,4
1202,2571,3
1202,527,5
1202,2762,5
3823,260,2
3823,1210,4
3823,356,4
3823,318,4
3823,1,3
3823,2028,1
3823,296,4
3823,1259,4
3823,2396,5
3823,2916,2
3823,780,4
3823,1265,1
3823,2762,3
3823,34,2
5448,260,4
5448,356,3
5448,318,1
5448,593,1
5448,3578,4
5448,2028,5
5448,296,2
5448,2396,1
5448,541,3
5448,2571,1
5448,1198,5
5448,34,2
5347,260,4
5347,593,3
5347,3578,2
5347,1,2
5347,296,3
5347,2916,2
5347,780,1
5347,541,2
5347,1265,4
5347,527,1
5347,2762,3
5347,1198,5
4117,260,5
4117,1210,1
4117,318,4
4117,593,2
4117,3578,4
4117,1,4
4117,2028,4
4117,1259,1
4117,2396,2
4117,780,1
4117,1265,5
4117,34,5
2765,260,4
2765,1210,2
2765,318,5
2765,593,3
2765,1,4
2765,2028,3
2765,296,4
2765,780,2
2765,2571,2
2765,527,5
2765,2762,1
5450,260,2
5450,1210,1
5450,356,5
5450,3578,5
5450,1,5
5450,2916,3
5450,780,2
5450,2571,1
5450,2762,2
5450,1198,1
5450,34,4
139,260,3
139,1210,5
139,356,2
139,1,2
139,296,1
139,2396,3
139,780,3
139,1265,2
139,2571,5
139,34,2
1940,260,2
1940,318,5
1940,593,4
1940,1,4
1940,2028,5
1940,2916,2
1940,780,4
1940,1265,3
1940,1198,5
3118,260,3
3118,356,3
3118,593,2
3118,1,3
3118,1259,4
3118,2916,1
3118,780,2
3118,541,2
3118,1265,3
3118,2571,5
3118,527,1
4656,260,4
4656,1210,4
4656,593,5
4656,3578,5
4656,1,2
4656,296,3
4656,1259,5
4656,2916,1
4656,780,3
4656,1265,2
4656,527,3
4656,1198,3
4656,34,1
4796,356,1
4796,593,3
4796,3578,2
4796,2028,2
4796,1259,1
4796,2396,5
4796,780,2
4796,2571,2
4796,527,2
4796,2762,4
4796,1198,3
4796,34,4
6037,1,2
6037,296,2
6037,2396,2
6037,780,3
6037,1265,3
6037,2571,4
3048,260,4
3048,1210,5
3048,356,1
3048,318,5
3048,593,1
3048,3578,1
3048,1,4
3048,296,5
3048,541,4
3048,527,2
3048,2762,1
3048,1198,2
3048,34,5
4790,260,5
4790,1210,1
4790,356,3
4790,3578,4
4790,1,2
4790,2028,1
4790,296,3
4790,1259,3
4790,2396,3
4790,2916,1
4790,2571,2
4489,260,1
4489,1210,2
4489,356,2
4489,318,4
4489,593,5
4489,1,2
4489,2028,3
4489,296,2
4489,1259,2
4489,2396,1
4489,780,4
4489,541,5
4489,1265,5
4489,2571,4
4489,527,3
4489,2762,5
4489,1198,3
